Year,Local_Authority_County,Code,Authority_Type,Public_FT_employees,Public_PT_employees,Public_Tot_employees,Public_Tot_employment,Private_FT_employees,Private_PT_employees,Private_Tot_employees,Private_Tot_employment,Total_FT_Employees,Total_PT_Employees,Total_Tot_employees,Total_Employment,Validation_Status,Public_Sector_Percent,Private_Sector_Percent,Public_sector_share,Private_sector_share,prev_year_employment,yoy_growth_percent
2009,East,E12000006,Region,287090,198797,485887,506034,1324936,611719,1936655,2034001,1612026,810516,2422542,2540035,Valid,19.92,80.08,19.92,80.08,,N/A
2010,East,E12000006,Region,293820,210836,504655,525009,1278923,616496,1895418,1972041,1572742,827332,2400073,2497050,Invalid,21.03,78.97,21.03,78.97,2540035.0,-1.69
2011,East,E12000006,Region,275751,210526,486277,506459,1287002,631996,1918999,2011806,1562753,842522,2405276,2518265,Invalid,20.11,79.89,20.11,79.89,2497050.0,0.85
2012,East,E12000006,Region,268347,199389,467736,487606,1312320,639250,1951570,2037365,1580667,838639,2419307,2524972,Invalid,19.31,80.69,19.31,80.69,2518265.0,0.27
2013,East,E12000006,Region,256029,197679,453708,472852,1344985,648366,1993352,2079827,1601014,846045,2447060,2552679,Invalid,18.52,81.48,18.52,81.48,2524972.0,1.1
2014,East,E12000006,Region,243557,186169,429726,449431,1446664,680442,2127105,2209877,1690222,866611,2556831,2659308,Invalid,16.9,83.1,16.9,83.1,2552679.0,4.18
2015,East,E12000006,Region,227937,176063,404000,404472,1527686,697804,2225489,2316270,1755622,873867,2629489,2720742,Invalid,14.87,85.13,14.87,85.13,2659308.0,2.31
2016,East,E12000006,Region,233722,190298,424020,424821,1536382,740960,2277341,2376537,1770104,931258,2701361,2801358,Invalid,15.16,84.84,15.16,84.84,2720742.0,2.96
2017,East,E12000006,Region,229508,192885,422392,423096,1573021,761640,2334662,2426730,1802529,954525,2757054,2849826,Invalid,14.85,85.15,14.85,85.15,2801358.0,1.73
2018,East,E12000006,Region,237847,198392,436239,436883,1565452,778851,2344303,2443333,1803299,977243,2780542,2880216,Valid,15.17,84.83,15.17,84.83,2849826.0,1.07
2019,East,E12000006,Region,246108,187338,433447,433992,1584360,767599,2351958,2436689,1830469,954937,2785405,2870681,Invalid,15.12,84.88,15.12,84.88,2880216.0,-0.33
2009,East Midlands,E12000004,Region,221454,177885,399339,419490,1044387,463257,1507645,1575296,1265841,641142,1906984,1994786,Invalid,21.03,78.97,21.03,78.97,,N/A
2010,East Midlands,E12000004,Region,238176,185469,423644,444189,1047792,434464,1482256,1542175,1285968,619933,1905901,1986364,Invalid,22.36,77.64,22.36,77.64,1994786.0,-0.42
2011,East Midlands,E12000004,Region,225018,178488,403507,423521,1058895,439108,1498003,1558876,1283913,617597,1901510,1982397,Invalid,21.36,78.64,21.36,78.64,1986364.0,-0.2
2012,East Midlands,E12000004,Region,209625,167828,377453,397045,1062702,463259,1525961,1580641,1272327,631088,1903414,1977686,Invalid,20.08,79.92,20.08,79.92,1982397.0,-0.24
2013,East Midlands,E12000004,Region,229831,132973,362805,382122,1066869,477733,1544603,1599945,1296700,610706,1907408,1982068,Invalid,19.28,80.72,19.28,80.72,1977686.0,0.22
2014,East Midlands,E12000004,Region,218870,129342,348212,368096,1121307,477828,1599136,1649105,1340177,607170,1947348,2017200,Invalid,18.25,81.75,18.25,81.75,1982068.0,1.77
2015,East Midlands,E12000004,Region,194883,134820,329703,330845,1185365,495247,1680611,1760411,1380248,630067,2010314,2091256,Invalid,15.82,84.18,15.82,84.18,2017200.0,3.67
2016,East Midlands,E12000004,Region,192686,138312,330998,332107,1197212,533520,1730733,1801178,1389898,671832,2061731,2133285,Invalid,15.57,84.43,15.57,84.43,2091256.0,2.01
2017,East Midlands,E12000004,Region,192976,134685,327662,328120,1227833,532265,1760098,1827562,1420809,666950,2087760,2155682,Invalid,15.22,84.78,15.22,84.78,2133285.0,1.05
2018,East Midlands,E12000004,Region,200080,133300,333380,334324,1203554,534129,1737683,1817166,1403635,667429,2071063,2151490,Invalid,15.54,84.46,15.54,84.46,2155682.0,-0.19
